Clapeyron Database File,,,,,,,,
SaftVRMie Assoc Parameters,,,,,,,,
species1,SMILES1,site1,species2,SMILES2,site2,epsilon_assoc,bondvol,source

BF4,,H,BF4,,e,2250,3450.0E-30
PF6,,H,PF6,,e,2250,3450.0E-30
C2MIM,,H,C2MIM,,e,2250,3450.0E-30
C4MIM,,H,C4MIM,,e,2250,3450.0E-30
TF2N,,H,TF2N,,e,2250,3450.0E-30
C6MIM,,H,C6MIM,,e,2250,3450.0E-30
C8MIM,,H,C8MIM,,e,2250,3450.0E-30
SCN,,H,SCN,,e,2250,3450.0E-30
TFO,,H,TFO,,e,2250,3450.0E-30

ethanol,,H,ethanol,,e,2672.4,156.51E-30,2023_Novak
methanol,CO,H,methanol,CO,e,2156,222.18E-30,2015_Dufal_2023_Novak








CA,,H,CA,,e,600,1200.0E-30,SAFTVRMie_2B
TBACl,,H,TBACl,,e,600,1200.0E-30,SAFTVRMie_2B
MTACl,,H,MTACl,,e,600,1200.0E-30,SAFTVRMie_2B
MTABr,,H,MTABr,,e,600,1200.0E-30,SAFTVRMie_2B
TOACl,,H,TOACl,,e,600,1200.0E-30,SAFTVRMie_2B
TOABr,,H,TOABr,,e,600,1200.0E-30,SAFTVRMie_2B

ChCl_EG_2,,H,ChCl_EG_2,,e,600,1200.0E-30,SAFTVRMie_2B
TPPPBr_Ph_6,,H,TPPPBr_Ph_6,,e,600,1200.0E-30,SAFTVRMie_2B
TBPBr_Ph_4,,H,TBPBr_Ph_4,,e,600,1200.0E-30,SAFTVRMie_2B
TPPPBr_Ph_4,,H,TPPPBr_Ph_4,,e,600,1200.0E-30,SAFTVRMie_2B
TBACl_CA_2,,H,TBACl_CA_2,,e,600,1200.0E-30,SAFTVRMie_2B
MTACl_CA_2,,H,MTACl_CA_2,,e,600,1200.0E-30,SAFTVRMie_2B
MTABr_CA_2,,H,MTABr_CA_2,,e,600,1200.0E-30,SAFTVRMie_2B
TOACl_CA_2,,H,TOACl_CA_2,,e,600,1200.0E-30,SAFTVRMie_2B
TOABr_CA_2,,H,TOABr_CA_2,,e,600,1200.0E-30,SAFTVRMie_2B
TOACl_CA_1.5,,H,TOACl_CA_1.5,,e,600,1200.0E-30,SAFTVRMie_2B




Ch_Ala,,H,Ch_Ala,,e,2250,3450.0E-30,SAFTVRMie_Pedro
ChAla,,H,ChAla,,e,2250,3450.0E-30,SAFTVRMie_Pedro
ChAla_m,,H,ChAla_m,,e,2250,3450.0E-30,SAFTVRMie_Pedro



1CO2_Dufal2015,,H,1TPPPBr_Ph_6,,e,,,test
1TPPPBr_Ph_6,,H,1CO2_Dufal2015,,e,,,test



water_ours,O,H,water_ours,O,e,1985.4,1.0169e-28,10.1080/00268976.2015.1029027



ethanol_origin,CCO,H,ethanol_origin,CCO,e,2833.7,0.34558,10.1063/1.4819786
propanol~|~1-propanol~|~propan-1-ol,CCCO,H,propanol~|~1-propanol~|~propan-1-ol,CCCO,e,2097.9,6.2309e-29,10.1016/j.fluid.2015.12.041
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,CCCCO,H,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,CCCCO,e,2097.9,6.2309e-29,10.1016/j.fluid.2015.12.041
water,O,H,water,O,e,1985.4,1.0169e-28,10.1080/00268976.2015.1029027
methanol_origin,CO,H,methanol_origin,CO,e,2062.1,1.0657e-28,10.1016/j.fluid.2015.12.041
methanol,CO,H,water,O,e,1993.5,1.0411e-28,10.1016/j.fluid.2015.12.041
methanol,CO,e,water,O,H,1993.5,1.0411e-28,10.1016/j.fluid.2015.12.041
water,O,e,carbon dioxide,O=C(=O),H,1398.1,9.1419e-29,10.1016/j.fluid.2015.12.041
